word,total_count,exam_count,hsk_levels_seen,source_types_seen,char_length,all_chars_known,likely_noise,in_jieba_dict,in_cedict
女孩,16,10,"3,4","listening,reading",2,False,False,True,True
苹果树,16,6,"3,4","listening,reading",3,False,False,True,False
河边,16,11,"3,4","listening,reading",2,True,False,True,True
时哭,16,1,4,"listening,reading",2,True,False,False,False
找个,16,9,"3,4","listening,reading",2,True,False,False,False
真让人,16,9,"3,4","listening,reading",3,True,False,True,False
八点半,15,9,"3,4","listening,reading",3,True,False,True,False
办好,15,9,"3,4","listening,reading",2,True,False,True,True
实题,15,13,3,listening,2,False,False,False,False
向左走,15,9,"3,4","listening,reading",3,True,False,True,False
咖啡店,15,4,"3,4","listening,reading",3,False,False,True,True
短发,15,6,"3,4","listening,reading",2,True,False,True,True
眼镜店,15,6,3,"listening,reading",3,False,False,True,False
牙疼,15,9,"3,4","listening,reading",2,True,False,True,False
踢球,15,8,"3,4","listening,reading",2,True,False,True,False
儿童节,14,5,4,"listening,reading",3,False,False,True,True
邻居家,14,8,"3,4","listening,reading",3,False,False,True,False
它会,14,4,"3,4","listening,reading",2,True,False,False,False
关门,14,9,"3,4","listening,reading",2,True,False,True,True
点菜,14,7,"3,4","listening,reading",2,True,False,True,True
这么晚,14,6,"3,4","listening,reading",3,False,False,True,False
下个,14,8,"3,4","listening,reading",2,True,False,False,True
有位,14,8,"3,4","listening,reading",2,True,False,False,False
香蕉皮,14,8,4,"listening,reading",3,False,False,True,False
时要,14,9,"3,4","listening,reading",2,True,False,False,False
好久没,13,10,"3,4","listening,reading",3,True,False,True,False
进水,13,6,"3,4","listening,reading",2,True,False,True,True
舞会,13,5,"3,4","listening,reading",2,True,False,True,True
练习题,13,10,3,"listening,reading",3,False,False,True,False
花园里,13,8,"3,4","listening,reading",3,True,False,True,False
说错,13,1,3,"listening,reading",2,True,False,True,False
天阴,13,9,3,"listening,reading",2,True,False,True,False
王先生,13,2,"3,4","listening,reading",3,True,False,True,False
星期五,13,6,"3,4","listening,reading",3,False,False,True,True
借钱,13,9,"3,4","listening,reading",2,True,False,True,True
地说,12,7,4,reading,2,True,False,False,False
李小姐,12,6,"3,4","listening,reading",3,False,False,True,False
树下,12,9,"3,4","listening,reading",2,True,False,True,False
传真机,12,9,4,"listening,reading",3,False,False,True,True
叶,12,4,4,"listening,reading",1,False,False,True,True
周明,12,2,3,"listening,reading",2,False,False,False,False
李医生,12,2,3,"listening,reading",3,False,False,True,False
电子信箱,12,7,"3,4","listening,reading",4,True,False,True,True
门前,12,8,"3,4","listening,reading",2,True,False,True,True
叫做,12,10,"3,4","listening,reading",2,True,False,True,True
墙上,12,6,4,"listening,reading",2,True,False,True,False
人去,12,8,"3,4","listening,reading",2,True,False,False,False
茶馆,12,9,"3,4","listening,reading",2,False,False,True,True
变化很大,12,9,"3,4","listening,reading",4,True,False,True,False
对人,12,9,"3,4","listening,reading",2,True,False,False,False
出错,12,6,"3,4","listening,reading",2,True,False,True,True
小王学,12,2,3,"listening,reading",3,True,False,False,False
比较忙,12,8,"3,4","listening,reading",3,True,False,True,False
往前走,12,10,"3,4","listening,reading",3,True,False,True,False
出门时,12,5,"3,4","listening,reading",3,True,False,True,False
下个星期,11,8,"3,4","listening,reading",4,False,False,True,True
所有人,11,8,4,"listening,reading",3,True,False,True,True
孙,11,3,"3,4","listening,reading",1,False,False,True,True
