word,total_count,exam_count,hsk_levels_seen,source_types_seen,char_length,all_chars_known,likely_noise,in_jieba_dict,in_cedict
发脾气,9,6,4,reading,3,False,False,True,True
游泳馆,9,8,"3,4","listening,reading",3,False,False,True,True
选择题,9,4,3,"listening,reading",3,False,False,True,True
小白,9,5,"3,4","listening,reading",2,True,False,False,True
省市,9,5,4,"listening,reading",2,True,False,True,True
各种各样,9,7,4,"listening,reading",4,True,False,True,True
从来不,9,7,4,"listening,reading",3,True,False,True,True
在读,9,7,"3,4","listening,reading",2,True,False,True,True
周五,9,6,"3,4","listening,reading",2,True,False,True,True
例,9,2,4,reading,1,False,False,True,True
坏事,8,5,4,"listening,reading",2,True,False,True,True
弄错,8,7,4,"listening,reading",2,True,False,True,True
相,8,5,"3,4","listening,reading",1,False,False,True,True
楼层,8,6,"3,4","listening,reading",2,True,False,True,True
理发店,8,6,4,"listening,reading",3,True,False,True,True
办公楼,8,1,3,"listening,reading",3,True,False,True,True
火车票,8,4,"3,4","listening,reading",3,True,False,True,True
咱家,8,5,4,"listening,reading",2,True,False,True,True
母亲节,8,4,4,"listening,reading",3,True,False,True,True
有空,8,3,4,"listening,reading",2,True,False,True,True
慢慢来,8,5,"3,4","listening,reading",3,True,False,True,True
说好,8,5,"3,4","listening,reading",2,True,False,True,True
花茶,8,6,3,"listening,reading",2,True,False,True,True
上个星期,8,5,"3,4","listening,reading",4,False,False,True,True
搬走,8,6,"3,4","listening,reading",2,True,False,True,True
讨论会,8,4,4,"listening,reading",3,False,False,True,True
使馆,8,6,4,"listening,reading",2,False,False,True,True
拉近,8,7,4,"listening,reading",2,True,False,True,True
南京,8,4,"3,4","listening,reading",2,False,False,True,True
脚下,8,6,"3,4","listening,reading",2,True,False,True,True
修好,8,5,4,"listening,reading",2,True,False,True,True
得不到,8,8,4,reading,3,True,False,True,True
白云,7,6,"3,4","listening,reading",2,True,False,True,True
经,7,7,"3,4",reading,1,False,False,True,True
下半年,7,3,4,"listening,reading",3,True,False,True,True
现代人,7,6,4,"listening,reading",3,False,False,True,True
科学家,7,5,4,reading,3,True,False,True,True
明晚,7,4,"3,4","listening,reading",2,False,False,True,True
铃铛,7,1,3,listening,2,False,False,True,True
目的地,7,5,4,"listening,reading",3,False,False,True,True
小孩,7,6,"3,4","listening,reading",2,False,False,True,True
风向,7,3,4,reading,2,True,False,True,True
购物袋,7,4,4,"listening,reading",3,False,False,True,True
长胖,7,6,"3,4","listening,reading",2,True,False,True,True
流血,7,5,4,"listening,reading",2,True,False,True,True
北半球,7,2,4,reading,3,True,False,True,True
照相馆,7,4,"3,4","listening,reading",3,False,False,True,True
判断力,7,7,4,reading,3,True,False,True,True
不知,7,5,4,"listening,reading",2,False,False,True,True
假话,7,5,4,"listening,reading",2,True,False,True,True
现,7,7,"3,4",reading,1,False,False,True,True
久等,6,2,"3,4","listening,reading",2,True,False,True,True
弃,6,2,4,reading,1,False,False,True,True
自备,6,5,4,reading,2,False,False,True,True
爱上,6,3,"3,4","listening,reading",2,True,False,False,True
脸红,6,4,"3,4","listening,reading",2,True,False,True,True
杂志社,6,3,4,"listening,reading",3,False,False,True,True
年费,6,2,4,"listening,reading",2,True,False,False,True
不符,6,6,4,reading,2,False,False,True,True
么,6,6,"3,4",reading,1,False,False,True,True
跟着,6,4,"3,4","listening,reading",2,True,False,True,True
说出,6,5,"3,4","listening,reading",2,True,False,True,True
说起,6,3,"3,4","listening,reading",2,True,False,True,True
面包店,6,3,"3,4",reading,3,True,False,True,True
一年四季,6,6,4,"listening,reading",4,True,False,True,True
易,6,4,"3,4",reading,1,False,False,True,True
发短信,6,3,4,"listening,reading",3,True,False,True,True
琉,6,2,"3,4",listening,1,False,False,True,True
睡懒觉,6,4,4,"listening,reading",3,True,False,True,True
桌面,6,2,4,"listening,reading",2,False,False,True,True
四叶草,6,2,4,reading,3,False,False,True,True
室内,6,4,4,reading,2,True,False,True,True
求职信,6,1,4,"listening,reading",3,False,False,True,True
慢走,6,2,3,"listening,reading",2,True,False,True,True
查收,6,4,4,"listening,reading",2,True,False,True,True
扔掉,6,4,4,"listening,reading",2,True,False,True,True
果,6,6,4,reading,1,False,False,True,True
学到,6,6,"3,4","listening,reading",2,True,False,True,True
叠,6,6,4,listening,1,False,False,True,True
外人,6,1,4,listening,2,True,False,True,True
电子,6,3,4,"listening,reading",2,True,False,True,True
男孩子,6,5,"3,4","listening,reading",3,False,False,True,True
弄乱,6,3,4,"listening,reading",2,True,False,True,True
成千上万,5,5,4,reading,4,True,False,True,True
借给,5,4,"3,4","listening,reading",2,True,False,True,True
外国人,5,2,"3,4","listening,reading",3,True,False,True,True
美的,5,3,4,"listening,reading",2,True,False,True,True
今,5,5,"3,4",reading,1,False,False,True,True
过多,5,4,4,"listening,reading",2,True,False,False,True
三分之一,5,4,4,"listening,reading",4,True,False,True,True
房卡,5,5,"3,4","listening,reading",2,False,False,True,True
记错,5,5,"3,4","listening,reading",2,True,False,True,True
报名表,5,3,4,"listening,reading",3,True,False,True,True
日出,5,2,"3,4","listening,reading",2,True,False,True,True
感冒药,5,3,"3,4","listening,reading",3,False,False,True,True
花钱,5,4,"3,4",reading,2,True,False,True,True
茶杯,5,4,3,"listening,reading",2,True,False,True,True
需,5,5,"3,4","listening,reading",1,False,False,True,True
拿来,5,4,4,"listening,reading",2,True,False,True,True
面馆,5,3,"3,4",reading,2,False,False,True,True
绿草,5,2,3,"listening,reading",2,True,False,True,True
天桥,5,3,4,"listening,reading",2,True,False,True,True
工具书,5,3,4,"listening,reading",3,False,False,True,True
足球赛,5,3,4,"listening,reading",3,True,False,True,True
汗水,5,5,4,reading,2,True,False,True,True
简短,5,1,4,"listening,reading",2,False,False,True,True
加深,5,5,4,"listening,reading",2,True,False,True,True
进门,5,4,"3,4","listening,reading",2,True,False,True,True
进球,5,5,4,"listening,reading",2,True,False,True,True
九江市,5,1,4,"listening,reading",3,True,False,True,True
试一试,5,4,4,"listening,reading",3,True,False,True,True
邓亚萍,5,3,4,reading,3,False,False,True,True
脱掉,5,3,4,"listening,reading",2,True,False,True,True
丽丽,5,2,4,"listening,reading",2,False,False,True,True
啤酒节,5,3,"3,4",reading,3,False,False,True,True
听不懂,5,2,4,"listening,reading",3,True,False,True,True
穿过,5,5,3,"listening,reading",2,True,False,True,True
红绿灯,5,3,"3,4","listening,reading",3,True,False,True,True
谈论,5,3,4,"listening,reading",2,False,False,True,True
赵,5,2,3,"listening,reading",1,False,False,True,True
笔画,5,5,3,"listening,reading",2,True,False,True,True
姊姊,4,2,3,listening,2,False,False,True,True
全长,4,3,4,reading,2,True,False,True,True
刘洋,4,1,3,listening,2,False,False,False,True
热茶,4,3,"3,4","listening,reading",2,True,False,True,True
日记本,4,3,4,"listening,reading",3,True,False,True,True
饭菜,4,2,"3,4","listening,reading",2,True,False,True,True
极少,4,2,4,"listening,reading",2,True,False,True,True
送人,4,2,"3,4","listening,reading",2,True,False,False,True
新疆,4,1,4,listening,2,False,False,True,True
香味,4,4,4,reading,2,False,False,True,True
辣白菜,4,1,4,"listening,reading",3,True,False,True,True
分钱,4,4,"3,4",reading,2,True,False,True,True
著,4,4,3,listening,1,False,False,True,True
候,4,4,4,reading,1,False,False,True,True
西安,4,2,"3,4","listening,reading",2,True,False,True,True
取代,4,1,4,"listening,reading",2,True,False,True,True
原定,4,2,4,"listening,reading",2,True,False,True,True
单子,4,2,"3,4","listening,reading",2,True,False,True,True
南半球,4,1,4,reading,3,True,False,True,True
试用,4,2,4,"listening,reading",2,True,False,True,True
动植物,4,3,4,"listening,reading",3,False,False,True,True
腿脚,4,3,3,reading,2,True,False,True,True
花灯,4,2,3,"listening,reading",2,True,False,True,True
体温,4,2,4,"listening,reading",2,False,False,True,True
叫声,4,3,"3,4","listening,reading",2,True,False,True,True
球赛,4,1,3,"listening,reading",2,True,False,True,True
必不可少,4,4,4,"listening,reading",4,True,False,True,True
雪地,4,3,4,"listening,reading",2,True,False,True,True
忘掉,4,2,4,"listening,reading",2,True,False,True,True
竞争力,4,4,4,"listening,reading",3,False,False,True,True
早起,4,3,"3,4","listening,reading",2,True,False,True,True
眼中,4,4,"3,4","listening,reading",2,True,False,True,True
较为,4,2,4,"listening,reading",2,True,False,True,True
在我看来,4,3,4,"listening,reading",4,True,False,True,True
皮肤病,4,2,4,"listening,reading",3,False,False,True,True
高个子,4,2,4,"listening,reading",3,True,False,True,True
电子游戏,4,4,"3,4",reading,4,True,False,True,True
车门,4,2,4,"listening,reading",2,True,False,True,True
差点,4,3,"3,4",listening,2,True,False,True,True
感,4,4,4,reading,1,False,False,True,True
各不相同,4,2,4,"listening,reading",4,False,False,True,True
笨人,4,2,4,reading,2,True,False,True,True
备,4,4,"3,4",reading,1,False,False,True,True
咱俩,4,2,4,"listening,reading",2,True,False,True,True
